,artist,style,museum_name,museum_location,museum_link
122,Claude Monet,impressionism,National Museums Liverpool,UK,http://www.artcyclopedia.com/scripts/r.pl?R229+158
123,Claude Monet,impressionism,New Art Gallery,"Walsall, England",http://www.artcyclopedia.com/scripts/r.pl?RC20+74
124,Claude Monet,impressionism,New Carlsberg Glyptotek,Copenhagen,http://www.artcyclopedia.com/scripts/r.pl?RF77+3
125,Claude Monet,impressionism,North Carolina Museum of Art,Raleigh,http://www.artcyclopedia.com/scripts/r.pl?R127+3
126,Claude Monet,impressionism,Oskar Reinhart Collection,Switzerland,http://www.artcyclopedia.com/scripts/r.pl?R690+13
127,Claude Monet,impressionism,Österreichische Galerie Belvedere,Vienna,http://www.artcyclopedia.com/scripts/r.pl?RC46+46
128,Claude Monet,impressionism,Palais des Beaux-Arts de Lille,"Lille, France ",http://www.artcyclopedia.com/scripts/r.pl?RT03+13
129,Claude Monet,impressionism,Palazzo Ruspoli,Rome ,http://www.artcyclopedia.com/scripts/r.pl?RD20+33
130,Claude Monet,impressionism,Palazzo Ruspoli,Rome ,http://www.artcyclopedia.com/scripts/r.pl?RD20+85
131,Claude Monet,impressionism,Philadelphia Museum of Art,,http://www.artcyclopedia.com/scripts/r.pl?R077+367
132,Claude Monet,impressionism,Philadelphia Museum of Art,,http://www.artcyclopedia.com/scripts/r.pl?R077+625
133,Claude Monet,impressionism,Phoenix Art Museum,Arizona,http://www.artcyclopedia.com/scripts/r.pl?RR79+46
134,Claude Monet,impressionism,Portland Museum of Art,Maine,http://www.artcyclopedia.com/scripts/r.pl?R072+47
135,Claude Monet,impressionism,Portland Museum of Art,Maine,http://www.artcyclopedia.com/scripts/r.pl?R072+6
136,Claude Monet,impressionism,Princeton University Art Museum,New Jersey,http://www.artcyclopedia.com/scripts/r.pl?RF35+181
137,Claude Monet,impressionism,Pushkin Museum of Fine Arts,Moscow,http://www.artcyclopedia.com/scripts/r.pl?R243+5
138,Claude Monet,impressionism,Rhode Island School of Design Museum of Art,,http://www.artcyclopedia.com/scripts/r.pl?RC91+30
139,Claude Monet,impressionism,Rijksmuseum Twenthe,"Enschede, Netherlands ",http://www.artcyclopedia.com/scripts/r.pl?RR40+137
140,Claude Monet,impressionism,Royal Museums of Fine Arts of Belgium Catalogue,,http://www.artcyclopedia.com/scripts/r.pl?RH73+302
141,Claude Monet,impressionism,Saint Louis Art Museum,Missouri,http://www.artcyclopedia.com/scripts/r.pl?R381+34
142,Claude Monet,impressionism,San Diego Museum of Art,California,http://www.artcyclopedia.com/scripts/r.pl?R418+715
143,Claude Monet,impressionism,Seattle Art Museum,,http://www.artcyclopedia.com/scripts/r.pl?RF76+86
144,Claude Monet,impressionism,Smith College Museum of Art,Massachusetts,http://www.artcyclopedia.com/scripts/r.pl?RD36+26
145,Claude Monet,impressionism,Claude Monet at the Smithsonian Archives of American Art,Washington D.C.,http://www.artcyclopedia.com/scripts/r.pl?RB52+77
146,Claude Monet,impressionism,Southampton City Art Gallery,England,http://www.artcyclopedia.com/scripts/r.pl?RQ80+153
147,Claude Monet,impressionism,Spencer Museum of Art at the University of Kansas,,http://www.artcyclopedia.com/scripts/r.pl?R557+31
148,Claude Monet,impressionism,Staatliche Kunstsammlungen Dresden,Germany,http://www.artcyclopedia.com/scripts/r.pl?RF17+2
149,Claude Monet,impressionism,Staatsgalerie Stuttgart,,http://www.artcyclopedia.com/scripts/r.pl?R240+64
150,Claude Monet,impressionism,Stedelijk Museum of Modern Art,Amsterdam,http://www.artcyclopedia.com/scripts/r.pl?R334+15
151,Claude Monet,impressionism,Studio Esseci,Italy ,http://www.artcyclopedia.com/scripts/r.pl?RL97+35
152,Claude Monet,impressionism,Tel Aviv Museum of Art,Israel,http://www.artcyclopedia.com/scripts/r.pl?R986+12
153,Claude Monet,impressionism,The Albertina,Vienna,http://www.artcyclopedia.com/scripts/r.pl?RA09+23
